name,slug,category,fame_tier,fame_label,pageviews_monthly_avg,sitelinks,occupations,matched,matched_referent,matched_descriptor,matched_id,site_category,existence_confidence,weight_rank,weight_total,n_referents,n_models_recognize,n_models
Acker Bilk,acker-bilk,actor,high,Well-known,6872,27.0,actor; bandleader; clarinetist; composer; jazz musician; musician; recording artist,True,Acker Bilk,British jazz clarinetist,acker-bilk,music,95.0,9008.0,343453.0,1,11,13
Adam Morgan,adam-morgan,athlete,nameshared,Shared name (4+ namesakes),1543,,association football player,True,Adam Morgan,English striker,adam-morgan-footballer,sports,90.0,100356.0,343520.0,16,4,13
Adriana Kučerová,adriana-ku~10d~erov~e1~,musician,low,Obscure,191,11.0,musician; opera singer,True,Adriana Kučerová,Slovak pop singer,adriana-kucerova-pop,music,40.0,,,7,1,13
Aidy Boothroyd,aidy-boothroyd,athlete,nameuniq,Unique name,1839,,association football coach; association football player,True,Aidy Boothroyd,English football manager and former player,aidy-boothroyd-football-manager,sports,95.0,7134.0,343555.0,3,12,13
Akiko Itoyama,akiko-itoyama,novelist,low,Obscure,164,9.0,novelist; writer,True,Akiko Itoyama,Japanese novelist,akiko-itoyama-novelist,writing,85.0,80360.0,343495.0,6,4,13
Alain Souchon,alain-souchon,musician,high,Well-known,1806,24.0,actor; composer; film actor; musician; recording artist; singer; singer-songwriter; songwriter,True,Alain Souchon,French singer-songwriter,alain-souchon,music,95.0,2864.0,343471.0,1,13,13
Alexander Dobrindt,alexander-dobrindt,politician,high,Well-known,2859,28.0,politician,True,Alexander Dobrindt,"German CSU politician, ex-Transport Minister",alexander-dobrindt-politician,politics,95.0,11691.0,343470.0,2,11,13
Alexander Golling,alexander-golling,actor,low,Obscure,164,7.0,actor; director; film actor; musician; speaker; stage actor,True,Alexander Golling,German stage and film actor,alexander-golling-actor,film-tv,85.0,57921.0,343473.0,6,5,13
Alexander Meier,alexander-meier,athlete,deushared,Shared-name German footballer,1249,,association football player,True,Alexander Meier,"German former footballer, Eintracht Frankfurt",alexander-meier-footballer,sports,95.0,22278.0,343409.0,13,9,13
Alfian Sa'at,alfian-sa~27~at,novelist,pdcopyright,Novelist (in-copyright),817,,novelist,True,Alfian Sa'at,Singaporean playwright and poet,alfian-saat-writer,writing,,10159.0,343575.0,4,11,13
