name,category,fame_tier,pageviews_monthly_avg,model,model_id,param_class,knowledge_cutoff,confidence,recognition_score,result_count,recognized,matched_person
Acker Bilk,actor,high,6872,GPT-5.5,openai/gpt-5.5,frontier,2025-12,98,98,1,True,True
Acker Bilk,actor,high,6872,Claude Opus 4.8,anthropic/claude-opus-4.8,frontier,2025-08,95,95,1,True,True
Acker Bilk,actor,high,6872,xAI Grok 4.20,x-ai/grok-4.20,frontier,2024-11,90,90,1,True,True
Acker Bilk,actor,high,6872,Google Gemini 3.1 Flash Lite,google/gemini-3.1-flash-lite,frontier,2026-02,100,100,1,True,True
Acker Bilk,actor,high,6872,Claude Haiku 4.5,anthropic/claude-haiku-4.5,mid,2025-02,95,95,1,True,True
Acker Bilk,actor,high,6872,GPT-5.4 Mini,openai/gpt-5.4-mini,mid,unknown,98,98,1,True,True
Acker Bilk,actor,high,6872,Kimi K2 0905,moonshotai/kimi-k2-0905,large,2025-04,100,100,1,True,True
Acker Bilk,actor,high,6872,DeepSeek V4 Flash,deepseek/deepseek-v4-flash,large,2025-07,95,95,1,True,True
Acker Bilk,actor,high,6872,Meta Llama 3.3 70B Instruct,meta-llama/llama-3.3-70b-instruct,large,2023-12,0,0,0,False,True
Acker Bilk,actor,high,6872,Z.ai GLM 4.7 Flash,z-ai/glm-4.7-flash,mid,unknown,0,0,0,False,True
Acker Bilk,actor,high,6872,Mistral Small 3.2 24B Instruct,mistralai/mistral-small-3.2-24b-instruct,mid,2025-06,90,90,1,True,True
Acker Bilk,actor,high,6872,Qwen3 8B,qwen/qwen3-8b,small,2025-04,90,90,1,True,True
Acker Bilk,actor,high,6872,Meta Llama 3.2 1B Instruct,meta-llama/llama-3.2-1b-instruct,small,2023-12,90,90,1,True,True
Adam Morgan,athlete,nameshared,1543,GPT-5.5,openai/gpt-5.5,frontier,2025-12,35,30,1,True,True
Adam Morgan,athlete,nameshared,1543,Claude Opus 4.8,anthropic/claude-opus-4.8,frontier,2025-08,0,0,0,False,True
Adam Morgan,athlete,nameshared,1543,xAI Grok 4.20,x-ai/grok-4.20,frontier,2024-11,0,0,0,False,True
Adam Morgan,athlete,nameshared,1543,Google Gemini 3.1 Flash Lite,google/gemini-3.1-flash-lite,frontier,2026-02,85,77,1,True,True
Adam Morgan,athlete,nameshared,1543,Claude Haiku 4.5,anthropic/claude-haiku-4.5,mid,2025-02,60,57,1,True,True
Adam Morgan,athlete,nameshared,1543,GPT-5.4 Mini,openai/gpt-5.4-mini,mid,unknown,0,0,0,False,True
Adam Morgan,athlete,nameshared,1543,Kimi K2 0905,moonshotai/kimi-k2-0905,large,2025-04,75,75,1,True,True
Adam Morgan,athlete,nameshared,1543,DeepSeek V4 Flash,deepseek/deepseek-v4-flash,large,2025-07,0,0,0,False,True
Adam Morgan,athlete,nameshared,1543,Meta Llama 3.3 70B Instruct,meta-llama/llama-3.3-70b-instruct,large,2023-12,0,0,0,False,True
Adam Morgan,athlete,nameshared,1543,Z.ai GLM 4.7 Flash,z-ai/glm-4.7-flash,mid,unknown,0,0,0,False,True
Adam Morgan,athlete,nameshared,1543,Mistral Small 3.2 24B Instruct,mistralai/mistral-small-3.2-24b-instruct,mid,2025-06,0,0,0,False,True
Adam Morgan,athlete,nameshared,1543,Qwen3 8B,qwen/qwen3-8b,small,2025-04,0,0,0,False,True
